geonames_id,lat-lon,lat,lon
3839262.0,"-31.49076,-60.73299",-31.49076,-60.73299
3435055.0,"-34.35886,-58.68742",-34.35886,-58.68742
3855075.0,"-35.65662,-63.75682",-35.65662,-63.75682
3436197.0,"-36.75,-59.66667",-36.75,-59.66667
3841488.0,"-33.75,-60.58333",-33.75,-60.58333
3865991.0,"-33.13032,-60.80393",-33.13032,-60.80393
3433958.0,"-30.66667,-58.33333",-30.66667,-58.33333
3835910.0,"-33.43761,-60.78974",-33.43761,-60.78974
3834182.0,"-38.25,-62.25",-38.25,-62.25
3864261.0,"-31.31313,-64.46015",-31.31313,-64.46015
3435280.0,"-38.11415,-57.83809",-38.11415,-57.83809
3429496.0,"-34.88936,-57.98805",-34.88936,-57.98805
3838750.0,"-31.5645,-68.65219",-31.5645,-68.65219
3436426.0,"-34.70754,-58.51826",-34.70754,-58.51826
3435962.0,"-35.25,-58.16667",-35.25,-58.16667
3838560.0,"-24.58333,-65.83333",-24.58333,-65.83333
3837232.0,"-31.60426,-60.56761",-31.60426,-60.56761
3433964.0,"-34.43704,-58.98743",-34.43704,-58.98743
3866237.0,"-32.19296,-64.25559",-32.19296,-64.25559
3835868.0,"-28,-63.5",-28.0,-63.5
3839304.0,"-31.7,-68.46667",-31.7,-68.46667
3843135.0,"-31.26738,-60.7628",-31.26738,-60.7628
3435704.0,"-34.29207,-59.10179",-34.29207,-59.10179
3837029.0,"-34,-66",-34.0,-66.0
3839107.0,"-38.83333,-60.36667",-38.83333,-60.36667
3839149.0,"-32.77199,-65.36395",-32.77199,-65.36395
3849189.0,"-33.14411,-65.08377",-33.14411,-65.08377
3480730.0,"-34.40864,-58.772",-34.40864,-58.772
3838235.0,"-31.13725,-64.29589",-31.13725,-64.29589
3856288.0,"-33.25259,-66.17878",-33.25259,-66.17878
3844848.0,"-31.67681,-61.75187",-31.67681,-61.75187
3434140.0,"-34.85833,-57.91889",-34.85833,-57.91889
3833919.0,"-33.105,-66.06228",-33.105,-66.06228
3427386.0,"-33.71381,-58.65844",-33.71381,-58.65844
3430782.0,"-34.38234,-58.82716",-34.38234,-58.82716
3837122.0,"-30.66667,-60.5",-30.66667,-60.5
3429688.0,"-34.80954,-57.98455",-34.80954,-57.98455
3862286.0,"-27,-67",-27.0,-67.0
3430287.0,"-34.49149,-59.0769",-34.49149,-59.0769
3837857.0,"-31.72864,-61.09192",-31.72864,-61.09192
3853510.0,"-30.98153,-64.09424",-30.98153,-64.09424
3835883.0,"-37.48778,-61.92263",-37.48778,-61.92263
3856657.0,"-32.86314,-68.74313",-32.86314,-68.74313
3427626.0,"-34.89089,-58.56819",-34.89089,-58.56819
3428973.0,"-30.33333,-59.91667",-30.33333,-59.91667
3863050.0,"-24.90982,-65.63656",-24.90982,-65.63656
3839061.0,"-32.76923,-60.7824",-32.76923,-60.7824
3845635.0,"-31.92148,-64.57651",-31.92148,-64.57651
3836587.0,"-32.20916,-64.64297",-32.20916,-64.64297
3429764.0,"-25.91958,-54.58229",-25.91958,-54.58229
3837702.0,"-28.46957,-65.78524",-28.46957,-65.78524
3865281.0,"-30.99676,-61.43014",-30.99676,-61.43014
3862084.0,"-25,-65.41667",-25.0,-65.41667
3860197.0,"-27.68038,-60.91462",-27.68038,-60.91462
3431608.0,"-36.48333,-56.7",-36.48333,-56.7
3436205.0,"-28.0616,-55.67797",-28.0616,-55.67797
3430103.0,"-29.66667,-57.25",-29.66667,-57.25
3835760.0,"-31.85375,-65.43037",-31.85375,-65.43037
3431836.0,"-35.09099,-59.17454",-35.09099,-59.17454
3837980.0,"-40.73193,-64.94769",-40.73193,-64.94769
3837213.0,"-31.5375,-68.53639",-31.5375,-68.53639
3430780.0,"-34.93702,-58.61921",-34.93702,-58.61921
3855114.0,"-38.95297,-67.92489",-38.95297,-67.92489
3833100.0,"-35.5,-60.25",-35.5,-60.25
3429786.0,"-26.02267,-54.61356",-26.02267,-54.61356
3832398.0,"-33.17303,-62.77078",-33.17303,-62.77078
3834813.0,"-26.73201,-65.25921",-26.73201,-65.25921
