geonames_id,lat,lat-lon,lon,place_name
3839304.0,-31.7,"-31.7,-68.46667",-68.46667,Departamento de Rawson
3843135.0,-31.26738,"-31.26738,-60.7628",-60.7628,Nelson
3435704.0,-34.29207,"-34.29207,-59.10179",-59.10179,Capilla del Señor
3837029.0,-34.0,"-34,-66",-66.0,San Luis Province
3839107.0,-38.83333,"-38.83333,-60.36667",-60.36667,Reta
3839149.0,-32.77199,"-32.77199,-65.36395",-65.36395,Renca
3849189.0,-33.14411,"-33.14411,-65.08377",-65.08377,La Punilla
3480730.0,-34.40864,"-34.40864,-58.772",-58.772,Maquinista Savio
3838235.0,-31.13725,"-31.13725,-64.29589",-64.29589,Salsipuedes
3856288.0,-33.25259,"-33.25259,-66.17878",-66.17878,El Volcán
3844848.0,-31.67681,"-31.67681,-61.75187",-61.75187,María Juana
3434140.0,-34.85833,"-34.85833,-57.91889",-57.91889,Partido de Ensenada
3833919.0,-33.105,"-33.105,-66.06228",-66.06228,Trapiche
3427386.0,-33.71381,"-33.71381,-58.65844",-58.65844,Villa Paranacito
3430782.0,-34.38234,"-34.38234,-58.82716",-58.82716,Matheu
3837122.0,-30.66667,"-30.66667,-60.5",-60.5,Departamento de San Justo
3429688.0,-34.80954,"-34.80954,-57.98455",-57.98455,Punta Lara
3862286.0,-27.0,"-27,-67",-67.0,Catamarca Province
3430287.0,-34.49149,"-34.49149,-59.0769",-59.0769,Open Door
3837857.0,-31.72864,"-31.72864,-61.09192",-61.09192,San Carlos Centro
